City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bathsheba,BB,2023-02-02 21:37:37,13.2167,-59.5167,27.34,61,40,9.26
1,Vuktyl,RU,2023-02-02 21:37:38,63.8567,57.3094,-10.48,92,98,3.61
2,Weatherford,US,2023-02-02 21:37:38,32.7593,-97.7972,0.81,90,100,2.27
3,Kapaa,US,2023-02-02 21:37:39,22.0752,-159.319,26.18,78,75,4.12
4,Hobart,AU,2023-02-02 21:37:39,-42.8794,147.3294,10.92,89,20,4.63
5,Tuktoyaktuk,CA,2023-02-02 21:37:39,69.4541,-133.0374,-38.0,74,40,2.57
6,Rikitea,PF,2023-02-02 21:37:40,-23.1203,-134.9692,26.24,71,80,6.39
7,Hermanus,ZA,2023-02-02 21:37:40,-34.4187,19.2345,15.45,78,6,3.17
8,Necochea,AR,2023-02-02 21:37:41,-38.5473,-58.7368,21.64,70,34,7.09
9,Clyde River,CA,2023-02-02 21:37:09,70.4692,-68.5914,-31.87,68,20,3.6
10,Tautira,PF,2023-02-02 21:37:41,-17.7333,-149.15,27.07,82,6,8.65
11,Kibala,TD,2023-02-02 21:37:41,9.1104,18.3463,26.97,26,0,2.06
12,Yinchuan,CN,2023-02-02 21:37:42,38.4681,106.2731,-4.04,33,17,2.43
13,Mazatlan,MX,2023-02-02 21:33:36,23.2167,-106.4167,26.98,76,40,6.17
14,Saint-Philippe,RE,2023-02-02 21:37:42,-21.3585,55.7679,24.77,88,64,5.67
15,Porto Santo,PT,2023-02-02 21:37:43,33.072,-16.3415,15.21,63,40,3.6
16,Kedrovyy,RU,2023-02-02 21:37:43,56.1667,91.8167,-22.3,97,12,1.26
17,Ribeira Grande,PT,2023-02-02 21:34:18,38.5167,-28.7,16.22,82,75,7.72
18,Bambous Virieux,MU,2023-02-02 21:34:53,-20.3428,57.7575,25.68,88,40,1.54
19,Ushuaia,AR,2023-02-02 21:37:44,-54.8,-68.3,19.81,42,40,4.12
20,Sindor,RU,2023-02-02 21:37:44,62.8629,51.8905,-8.52,95,100,2.78
21,Sitio Novo Do Tocantins,BR,2023-02-02 21:37:44,-5.5183,-47.4611,23.11,96,85,1.52
22,Derendingen,CH,2023-02-02 21:37:45,47.1985,7.5884,5.68,83,75,1.03
23,Albany,US,2023-02-02 21:36:17,42.6001,-73.9662,1.43,40,18,3.06
24,Cabo San Lucas,MX,2023-02-02 21:35:30,22.8909,-109.9124,24.23,53,40,4.63
25,Urumqi,CN,2023-02-02 21:36:01,43.801,87.6005,-16.47,85,72,1.0
26,Mar Del Plata,AR,2023-02-02 21:37:01,-38.0023,-57.5575,22.19,87,75,10.28
27,Lake Cowichan,CA,2023-02-02 21:37:46,48.825,-124.0546,5.59,67,100,1.04
28,Naze,JP,2023-02-02 21:37:46,28.3667,129.4833,11.51,68,3,3.65
29,Mataura,NZ,2023-02-02 21:37:46,-46.1927,168.8643,25.87,52,34,1.64
30,Jamestown,US,2023-02-02 21:37:47,42.097,-79.2353,2.77,40,0,8.23
31,Bethel,US,2023-02-02 21:36:51,41.3712,-73.414,3.2,39,0,4.12
32,Lovozero,RU,2023-02-02 21:37:47,68.005,35.0117,-7.69,96,100,2.05
33,Broome,US,2023-02-02 21:37:48,42.2506,-75.833,2.06,45,0,4.92
34,Puerto Maldonado,PE,2023-02-02 21:37:48,-12.6,-69.1833,32.22,62,20,4.12
35,Rocha,UY,2023-02-02 21:37:26,-34.4833,-54.3333,19.1,95,100,4.22
36,Lasa,IT,2023-02-02 21:37:49,46.6166,10.7002,3.49,94,73,3.54
37,Nagornskiy,RU,2023-02-02 21:37:49,58.7731,57.5451,-13.38,98,100,1.45
38,Saskylakh,RU,2023-02-02 21:37:49,71.9167,114.0833,-25.46,99,100,1.25
39,Mayo,US,2023-02-02 21:37:50,38.8876,-76.5119,5.62,60,0,3.6
40,East London,ZA,2023-02-02 21:37:50,-33.0153,27.9116,22.63,83,68,1.48
41,Airai,TL,2023-02-02 21:37:50,-8.9266,125.4092,16.11,97,100,1.3
42,Maceio,BR,2023-02-02 21:32:52,-9.6658,-35.7353,27.69,78,40,5.66
43,San Cristobal,VE,2023-02-02 21:37:51,7.7669,-72.225,24.1,33,5,2.3
44,Nechi,CO,2023-02-02 21:37:51,8.0942,-74.7757,31.45,47,7,1.85
45,Qaanaaq,GL,2023-02-02 21:37:52,77.484,-69.3632,-16.82,60,13,4.08
46,Imeni Poliny Osipenko,RU,2023-02-02 21:37:52,52.4201,136.4853,-35.32,100,100,0.52
47,Ponta Do Sol,PT,2023-02-02 21:37:52,32.6667,-17.1,15.35,56,46,3.83
48,San Quintin,MX,2023-02-02 21:37:53,30.4833,-115.95,17.54,41,13,4.4
49,Bluff,NZ,2023-02-02 21:37:53,-46.6,168.3333,18.59,87,58,2.17
50,Quatre Cocos,MU,2023-02-02 21:38:53,-20.2078,57.7625,25.61,81,2,2.22
51,Husavik,IS,2023-02-02 21:38:54,66.0449,-17.3389,-0.28,96,100,6.02
52,Canon City,US,2023-02-02 21:36:55,38.441,-105.2424,11.09,26,0,4.12
53,Ullapool,GB,2023-02-02 21:38:54,57.8987,-5.1604,9.08,78,100,10.76
54,Rutul,RU,2023-02-02 21:38:55,41.5357,47.4239,-0.92,95,98,2.06
55,Toamasina,MG,2023-02-02 21:38:55,-18.1667,49.3833,24.0,94,40,3.09
56,Iquique,CL,2023-02-02 21:38:55,-20.2208,-70.1431,25.02,77,32,1.96
57,Nurpur,IN,2023-02-02 21:38:56,29.15,78.4167,10.74,56,0,3.51
58,Luderitz,NA,2023-02-02 21:35:43,-26.6481,15.1594,18.04,65,6,8.86
59,Roma,US,2023-02-02 21:34:03,43.2128,-75.4557,1.71,44,100,2.57
60,Djambala,CG,2023-02-02 21:38:57,-2.5447,14.7533,21.95,74,91,1.21
61,Buala,SB,2023-02-02 21:38:57,-8.145,159.5921,27.38,80,99,1.94
62,Sosnovo-Ozerskoye,RU,2023-02-02 21:38:58,52.5249,111.5418,-28.09,100,63,1.82
63,Koubia,GN,2023-02-02 21:38:58,11.5833,-11.9,23.05,21,96,0.37
64,Arraial Do Cabo,BR,2023-02-02 21:35:01,-22.9661,-42.0278,28.98,74,20,4.63
65,Trincomalee,LK,2023-02-02 21:38:59,8.5711,81.2335,26.03,81,51,4.83
66,Paamiut,GL,2023-02-02 21:38:59,61.994,-49.6678,-16.32,89,100,6.17
67,Chokurdakh,RU,2023-02-02 21:36:06,70.6333,147.9167,-25.71,99,99,1.79
68,Port Alfred,ZA,2023-02-02 21:39:00,-33.5906,26.891,20.66,93,15,1.34
69,Provideniya,RU,2023-02-02 21:39:00,64.3833,-173.3,-9.94,67,40,10.0
70,Nizhnevartovsk,RU,2023-02-02 21:39:01,60.9344,76.5531,-12.99,100,100,1.0
71,Medina,SA,2023-02-02 21:34:40,24.4686,39.6142,16.24,29,0,1.54
72,Cape Town,ZA,2023-02-02 21:39:01,-33.9258,18.4232,19.23,68,0,8.23
73,Rawson,AR,2023-02-02 21:39:02,-43.3002,-65.1023,25.43,50,33,5.39
74,Rubiataba,BR,2023-02-02 21:39:04,-15.1644,-49.8033,22.37,88,82,0.58
75,Natal,BR,2023-02-02 21:39:06,-5.795,-35.2094,27.36,74,40,7.2
76,Nikolskoye,RU,2023-02-02 21:39:08,59.7035,30.7861,-1.06,98,100,0.81
77,Los Llanos De Aridane,ES,2023-02-02 21:39:13,28.6585,-17.9182,14.86,73,75,4.12
78,Nanortalik,GL,2023-02-02 21:39:17,60.1432,-45.2371,-10.36,77,98,6.08
79,Avarua,CK,2023-02-02 21:39:19,-21.2078,-159.775,28.03,83,20,5.14
80,Tiksi,RU,2023-02-02 21:39:20,71.6872,128.8694,-33.72,98,82,3.33
81,Jaunjelgava,LV,2023-02-02 21:39:20,56.6167,25.0833,-2.5,87,98,4.18
82,Mogadishu,SO,2023-02-02 21:39:21,2.0371,45.3438,24.42,81,81,8.17
83,Busselton,AU,2023-02-02 21:39:22,-33.65,115.3333,15.88,84,7,6.93
84,Souillac,MU,2023-02-02 21:38:03,-20.5167,57.5167,25.21,88,40,1.54
85,Zimovniki,RU,2023-02-02 21:39:23,47.1483,42.4633,-2.04,86,85,1.78
86,Hirara,JP,2023-02-02 21:37:37,24.8,125.2833,19.43,77,95,6.86
87,Aleysk,RU,2023-02-02 21:39:24,52.4926,82.7822,-20.13,100,60,0.96
88,Broadford,AU,2023-02-02 21:39:24,-37.2,145.0667,10.3,76,93,4.65
89,San Patricio,US,2023-02-02 21:34:52,28.017,-97.5169,8.92,69,93,7.28
90,Walvis Bay,NA,2023-02-02 21:39:25,-22.9575,14.5053,18.38,82,97,1.54
91,Thompson,CA,2023-02-02 21:39:25,55.7435,-97.8558,-27.91,63,20,5.14
92,Rajmahal,IN,2023-02-02 21:39:26,25.05,87.8333,12.55,64,56,3.36
93,Cabra,ES,2023-02-02 21:39:27,37.4725,-4.4421,6.58,62,0,1.52
94,Vardo,NO,2023-02-02 21:39:27,70.3705,31.1107,-2.35,67,100,3.11
95,Yar-Sale,RU,2023-02-02 21:40:28,66.8333,70.8333,-15.17,95,19,3.8
96,Castro,BR,2023-02-02 21:40:28,-24.7911,-50.0119,19.09,94,100,4.03
97,Chuy,UY,2023-02-02 21:35:40,-33.6971,-53.4616,20.32,92,100,6.16
98,Tecoanapa,MX,2023-02-02 21:40:29,16.5167,-98.75,29.62,50,3,5.3
99,Geraldton,AU,2023-02-02 21:40:29,-28.7667,114.6,26.23,31,20,1.03
100,Puerto Ayora,EC,2023-02-02 21:40:29,-0.7393,-90.3518,29.98,90,99,4.47
101,Shingu,JP,2023-02-02 21:40:30,33.7333,135.9833,2.0,67,28,2.37
102,Terney,RU,2023-02-02 21:40:30,45.0503,136.6092,-14.61,73,59,4.3
103,Moctezuma,MX,2023-02-02 21:36:11,29.8,-109.6667,20.13,24,0,2.4
104,Yulara,AU,2023-02-02 21:40:31,-25.2406,130.9889,19.47,49,0,6.34
105,Chumikan,RU,2023-02-02 21:40:31,54.7183,135.315,-26.37,87,82,8.41
106,Yellowknife,CA,2023-02-02 21:38:53,62.456,-114.3525,-28.58,76,20,5.14
107,Tual,ID,2023-02-02 21:40:32,-5.6667,132.75,28.28,76,100,6.84
108,Hithadhoo,MV,2023-02-02 21:40:32,-0.6,73.0833,28.18,64,87,5.81
109,Meulaboh,ID,2023-02-02 21:36:15,4.1363,96.1285,24.37,91,100,2.18
110,Kidal,ML,2023-02-02 21:40:33,18.4411,1.4078,21.8,10,10,5.93
111,Touros,BR,2023-02-02 21:40:33,-5.1989,-35.4608,26.76,76,49,6.89
112,Harper,LR,2023-02-02 21:40:33,4.375,-7.7169,26.59,85,7,3.25
